measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Selden_Supra_48_measure_1,manuscript_8918,MS_Selden_Supra_48,MS. Selden Supra 48,Selden supra,,MS_Selden_Supra_48,,viii + 444 pages 6.125 4.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_49_measure_1,manuscript_8919,MS_Selden_Supra_49,MS. Selden Supra 49,Selden supra,,MS_Selden_Supra_49,,ruled for two columns with single vertical and double horizontal bounding lines extending the full height and width of page; 31 lines per page; written space: c. 71 105,,101,101,101,145,145,145,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_51_measure_1,manuscript_8921,MS_Selden_Supra_51,MS. Selden Supra 51,Selden supra,,MS_Selden_Supra_51,,"ruled for two columns with single vertical and triple horizontal bounding lines extending the full height and width of page; a second set of double bounding lines in the upper, lower and outer margins, used as the ruling for running titles and indexing letters; 33–4 lines per page; prickings survive; written space: c. 90 135",,146,146,146,208,208,208,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_53_measure_1,manuscript_8923,MS_Selden_Supra_53,MS. Selden Supra 53,Selden supra,,MS_Selden_Supra_53,,"Written in long lines, c. 33 per page. Ruled with five vertical guidelines: two enclosing Latin glosses in the outer margin and three for the text column, with a narrow double at left side of the text column to enclose an initial letter of first line of each stanza. Fourteen horizontal guidelines: two for a running title (not executed), two for the first line of each of four stanzas; a double below last stanza, and a double in lower margin for catchwords, all running to edge of page. Ruling within text column. Written area 175 85–90",,253,253,253,188,188,188,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_54_measure_1,manuscript_8924,MS_Selden_Supra_54,MS. Selden Supra 54,Selden supra,,MS_Selden_Supra_54,,72 leaves 8.75 6.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_55_measure_1,manuscript_8925,MS_Selden_Supra_55,MS. Selden Supra 55,Selden supra,,MS_Selden_Supra_55,,26 leaves 8.75 5.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_56_measure_1,manuscript_8926,MS_Selden_Supra_56,MS. Selden Supra 56,Selden supra,,MS_Selden_Supra_56,,"1 col., ruled in ink on three sides and containing 35-42 lines in unspaced stanzas (generally 5, sometimes 6 or intermediate) which often overrun the page Column space: 167 90 Quires numbered in arabic numerals on last leaf verso of each quireIn a survey of the sizes of vernacular manuscipts, Ralph Hannah classifies MS. Selden Supra 56 as 'octavo' format, and smaller than the most common size for surviving manuscriupts of Troilus and Criseyde, which is 'late-medeival quarto' ( [Stanford University Press, 1996], p. 117 and p. 301). It is possible that the narrow shape of the manuscript, higher than it is wide, was to allow it to be more easily held open in one hand, perhaps for the purposes of reading the text aloudPursuing History: Middle English Manuscripts and Their TextsIt was not only size and format that would have been a consideration in the creation and design of this mansucript, but also weight. Daniel Sawyer speculates that one reason for the use of paper, rather than vellum, in this period came from a wish to create light -- and therefore more portable -- books of Middle English verse. Sawyer notes that MS. Selden Supra 56 'weighs little even in its surviving medieval binding' ( [Oxford University Press, 2020], p. 101)Reading English Verse in Manuscript c.1350-c.1500",,215,215,215,443,443,443,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_57_measure_1,manuscript_8927,MS_Selden_Supra_57,MS. Selden Supra 57,Selden supra,,MS_Selden_Supra_57,,"2 cols., 38 lines, column space 185 60",,240,240,240,180,180,180,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_57_measure_2,manuscript_8927,MS_Selden_Supra_57,MS. Selden Supra 57,Selden supra,,,fragment,2 columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_66_measure_1,manuscript_8930,MS_Selden_Supra_66,MS. Selden Supra 66,Selden supra,,MS_Selden_Supra_66,,45 leaves 9.125 6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_67_measure_1,manuscript_8931,MS_Selden_Supra_67,MS. Selden Supra 67,Selden supra,,MS_Selden_Supra_67,,"1 col., 38 lines, column space 190 120",,255,255,255,185,185,185,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_68_measure_1,manuscript_8932,MS_Selden_Supra_68,MS. Selden Supra 68,Selden supra,,MS_Selden_Supra_68,,"1 col., 23 lines, column space 155 95",,232,232,232,165,165,165,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_69_measure_1,manuscript_8933,MS_Selden_Supra_69,MS. Selden Supra 69,Selden supra,,MS_Selden_Supra_69,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_70_measure_1,manuscript_8935,MS_Selden_Supra_70,MS. Selden Supra 70,Selden supra,,MS_Selden_Supra_70,,159 leaves 4.75 3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_82_measure_1,manuscript_8945,MS_Selden_Supra_82,MS. Selden Supra 82,Selden supra,,MS_Selden_Supra_82,,56 leaves 8.25 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_83_measure_1,manuscript_8946,MS_Selden_Supra_83,MS. Selden Supra 83,Selden supra,,MS_Selden_Supra_83,,101 leaves. 8.25 6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
